,P,Q,AIC,BIC,MAPE_train,MAE_test,MAPE_test,MAE_test
0,3,6,51748.89603996778,51811.00815358571,25.884755420311897,180.73993308981832,17.775239402312963,180.73993308981832
1,3,6,51748.89603996778,51811.00815358571,25.884755420311897,180.73993308981832,17.775239402312963,180.73993308981832
2,3,6,51748.89603996778,51811.00815358571,25.884755420311897,180.73993308981832,17.775239402312963,180.73993308981832
3,3,6,51748.89603996778,51811.00815358571,25.884755420311897,180.73993308981832,17.775239402312963,180.73993308981832
4,3,6,51748.89603996778,51811.00815358571,25.884755420311897,180.73993308981832,17.775239402312963,180.73993308981832
5,3,6,51748.89603996778,51811.00815358571,25.884755420311897,180.73993308981832,17.775239402312963,180.73993308981832
6,3,6,51748.89603996778,51811.00815358571,25.884755420311897,180.73993308981832,17.775239402312963,180.73993308981832
7,3,6,51748.89603996778,51811.00815358571,25.884755420311897,180.73993308981832,17.775239402312963,180.73993308981832
8,3,6,51748.89603996778,51811.00815358571,25.884755420311897,180.73993308981832,17.775239402312963,180.73993308981832
9,3,6,51748.89603996778,51811.00815358571,25.884755420311897,180.73993308981832,17.775239402312963,180.73993308981832
10,3,6,51748.89603996778,51811.00815358571,25.884755420311897,180.73993308981832,17.775239402312963,180.73993308981832
11,3,6,51748.89603996778,51811.00815358571,25.884755420311897,180.73993308981832,17.775239402312963,180.73993308981832
12,3,6,51748.89603996778,51811.00815358571,25.884755420311897,180.73993308981832,17.775239402312963,180.73993308981832
