,p,q,AIC,BIC
0,0,0,61724.59647441479,61737.03566532315
1,0,1,58087.55052512353,58106.20931148606
2,0,2,56053.606961404665,56078.48534322137
3,0,3,55177.86600463439,55208.963981905275
4,0,4,54320.931579756114,54358.24915248118
5,0,5,53833.24169761605,53876.77886579529
6,0,6,53745.22992785409,53794.9866914875
7,0,7,53554.4329923312,53610.4093514188
8,0,8,53365.33913612622,53427.53509066799
9,0,9,53197.00001300272,53265.41556299866
10,1,0,52626.15552768776,52644.814314050294
11,1,1,52582.18891592928,52607.06729774598
12,1,2,52528.09452581068,52559.19250308157
13,1,3,52466.63786710566,52503.95543983072
14,1,4,52453.93571016903,52497.47287834827
15,1,5,52428.386862921885,52478.1436265553
16,1,6,52428.10319528974,52484.079554377335
17,1,7,52345.41102829967,52407.60698284144
18,1,8,52346.38815242631,52414.80370242226
19,1,9,52346.13618545525,52420.77133090538
20,2,0,52591.23473592269,52616.11311773939
21,2,1,52457.911775015025,52489.009752285914
22,2,2,52454.210787779215,52491.52836050428
23,2,3,52449.424482572096,52492.961650751335
24,2,4,52446.91008666434,52496.666850297755
25,2,5,52429.92089937368,52485.89725846127
26,2,6,52407.82950776038,52470.025462302154
27,2,7,52346.528914795985,52414.94446479193
28,2,8,52346.86982716679,52421.50497261691
29,2,9,52348.213664352385,52429.06840525669
30,3,0,52565.04447893488,52596.14245620577
31,3,1,52453.08607089186,52490.403643616926
32,3,2,52458.959271614985,52502.496439794224
33,3,3,52428.07375024342,52477.830513876834
34,3,4,52366.102858383776,52422.07921747137
35,3,5,52375.66592472253,52437.8618792643
36,3,6,52305.040657404665,52373.45620740061
37,3,7,52345.19170219945,52419.82684764958
38,3,8,52347.75733066151,52428.61207156581
39,3,9,52349.72632744195,52436.80066380043
40,4,0,52532.128282980666,52569.44585570573
41,4,1,52443.119410274674,52486.65657845391
42,4,2,52467.17823944089,52516.9350030743
43,4,3,52317.9816678235,52373.958026911096
44,4,4,52332.621255470745,52394.81721001251
45,4,5,52296.7885197141,52365.204069710046
46,4,6,52308.288236447406,52382.92338189753
47,4,7,52345.943428267485,52426.79816917179
48,4,8,52347.86399650462,52434.938332863094
49,4,9,52262.54217737254,52355.8361091852
50,5,0,52499.57603606298,52543.11320424222
51,5,1,52434.21840217878,52483.9751658122
52,5,2,52513.60395808853,52569.58031717613
53,5,3,52346.04785532676,52408.24380986853
54,5,4,52333.28105077025,52401.6966007662
55,5,5,52272.54170941102,52347.17685486115
56,5,6,52297.22944844935,52378.08418935365
57,5,7,52291.61729137898,52378.691627737455
58,5,8,52288.54497067661,52381.83890248927
59,5,9,52211.08434867862,52310.59787594545
60,6,0,52411.795138155874,52461.55190178929
61,6,1,52399.89883381361,52455.87519290121
62,6,2,52367.91350269276,52430.10945723453
63,6,3,52273.715226051325,52342.13077604727
64,6,4,52280.24072214209,52354.875867592214
65,6,5,52241.79873602827,52322.65347693257
66,6,6,52266.43006016877,52353.50439652725
67,6,7,52241.82434202103,52335.11827383369
68,6,8,52178.95119984661,52278.46472711344
69,6,9,52200.04714949796,52305.780272218966
70,7,0,52380.401326606094,52436.37768569369
71,7,1,52350.794660357446,52412.990614899216
72,7,2,52303.96635017427,52372.38190017022
73,7,3,52300.24458614507,52374.8797315952
74,7,4,52263.18678634826,52344.04152725256
75,7,5,52258.34527021723,52345.41960657571
76,7,6,52267.010349227785,52360.30428104045
77,7,7,52230.23664091782,52329.750168184655
78,7,8,52182.63577355379,52288.3688962748
79,7,9,52195.17368534808,52307.126403523274
80,8,0,52333.359124158305,52395.55507870008
81,8,1,52334.28016409376,52402.69571408971
82,8,2,52277.212680707176,52351.847826157304
83,8,3,52260.38011912597,52341.23486003027
84,8,4,52318.97908900127,52406.05342535974
85,8,5,52256.28178204119,52349.57571385385
86,8,6,52253.85017193458,52353.363699201414
87,8,7,52192.81798833315,52298.55111105416
88,8,8,52122.65581906372,52234.60853723891
89,8,9,52126.554949714715,52244.72726334408
90,9,0,52333.34576012277,52401.76131011872
91,9,1,52326.366014582614,52401.00116003274
92,9,2,52270.30311231305,52351.15785321735
93,9,3,52268.37131952301,52355.445655881485
94,9,4,52254.43171524901,52347.72564706166
95,9,5,52273.982935548105,52373.49646281494
96,9,6,52226.75282451861,52332.48594723961
97,9,7,52160.453265685646,52272.40598386084
98,9,8,52093.59145119285,52211.763764822215
99,9,9,52141.36684227199,52265.75875135553
