,P,Q,AIC,BIC,MAPE_train,MAE_train,MAPE_test,MAE_test
0,3,6,50233.5074775993,50301.61052365037,26.673895829512162,176.53182280792674,20.554849471557585,176.53182280792674
1,3,6,50233.5074775993,50301.61052365037,26.673895829512162,176.53182280792674,20.554849471557585,176.53182280792674
2,3,6,50233.5074775993,50301.61052365037,26.673895829512162,176.53182280792674,20.554849471557585,176.53182280792674
3,3,6,50233.5074775993,50301.61052365037,26.673895829512162,176.53182280792674,20.554849471557585,176.53182280792674
4,3,6,50233.5074775993,50301.61052365037,26.673895829512162,176.53182280792674,20.554849471557585,176.53182280792674
5,3,6,50233.5074775993,50301.61052365037,26.673895829512162,176.53182280792674,20.554849471557585,176.53182280792674
6,3,6,50233.5074775993,50301.61052365037,26.673895829512162,176.53182280792674,20.554849471557585,176.53182280792674
7,3,6,50233.5074775993,50301.61052365037,26.673895829512162,176.53182280792674,20.554849471557585,176.53182280792674
8,3,6,50233.5074775993,50301.61052365037,26.673895829512162,176.53182280792674,20.554849471557585,176.53182280792674
9,3,6,50233.5074775993,50301.61052365037,26.673895829512162,176.53182280792674,20.554849471557585,176.53182280792674
10,3,6,50233.5074775993,50301.61052365037,26.673895829512162,176.53182280792674,20.554849471557585,176.53182280792674
11,3,6,50233.5074775993,50301.61052365037,26.673895829512162,176.53182280792674,20.554849471557585,176.53182280792674
12,3,6,50233.5074775993,50301.61052365037,26.673895829512162,176.53182280792674,20.554849471557585,176.53182280792674
