,0,1,2,3,4,5,6,7,8
0,"(1, 0, 0)",3,6,50233.5074775993,50301.61052365037,26.673895829512162,176.53182280792674,20.554849471557585,176.53182280792674
1,"(2, 0, 0)",3,6,50233.5074775993,50301.61052365037,26.673895829512162,176.53182280792674,20.554849471557585,176.53182280792674
2,"(1, 1, 0)",3,6,50233.5074775993,50301.61052365037,26.673895829512162,176.53182280792674,20.554849471557585,176.53182280792674
3,"(1, 2, 0)",3,6,50233.5074775993,50301.61052365037,26.673895829512162,176.53182280792674,20.554849471557585,176.53182280792674
4,"(0, 0, 1)",3,6,50233.5074775993,50301.61052365037,26.673895829512162,176.53182280792674,20.554849471557585,176.53182280792674
5,"(0, 1, 1)",3,6,50233.5074775993,50301.61052365037,26.673895829512162,176.53182280792674,20.554849471557585,176.53182280792674
6,"(0, 2, 1)",3,6,50233.5074775993,50301.61052365037,26.673895829512162,176.53182280792674,20.554849471557585,176.53182280792674
7,"(8, 0, 8)",3,6,50233.5074775993,50301.61052365037,26.673895829512162,176.53182280792674,20.554849471557585,176.53182280792674
8,"(8, 1, 8)",3,6,50233.5074775993,50301.61052365037,26.673895829512162,176.53182280792674,20.554849471557585,176.53182280792674
9,"(9, 0, 7)",3,6,50233.5074775993,50301.61052365037,26.673895829512162,176.53182280792674,20.554849471557585,176.53182280792674
10,"(9, 1, 7)",3,6,50233.5074775993,50301.61052365037,26.673895829512162,176.53182280792674,20.554849471557585,176.53182280792674
11,"(8, 0, 9)",3,6,50233.5074775993,50301.61052365037,26.673895829512162,176.53182280792674,20.554849471557585,176.53182280792674
12,"(8, 1, 9)",3,6,50233.5074775993,50301.61052365037,26.673895829512162,176.53182280792674,20.554849471557585,176.53182280792674
